NT_187605.1	chr15_KI270849v1_alt
NT_187486.1	chrUn_KI270381v1
KI270374.1	chrUn_KI270374v1
NW_003315929.1	chr9_GL383540v1_alt
KI270775.1	NT_187531.1
HSCHR6_1_CTG7	NT_187555.1
HSCHR4_8_CTG12	KQ090014.1
KI270375.1	chrUn_KI270375v1
KI270522.1	NT_187434.1
KI270722.1	NT_187377.1
KV766196.1	NW_017363817.1
HSCHR20_1_CTG4	chr20_KI270871v1_alt
HSCHR11_2_CTG1_1	NT_187657.1
HSCHR20_1_CTG4	KI270871.1
NT_187650.1	chr4_KI270896v1_alt
NT_187491.1	chrUn_KI270372v1
KI270849.1	NT_187605.1
KQ458384.1	NW_014040927.1
NT_187444.1	chrUn_KI270544v1
HG1535_PATCH	KZ208924.1
KV575260.1	NW_016107314.1
GJ212149.2	NT_187332.1
HSCHR2_1_CTG1	KI270769.1
NT_187681.1	chr11_KI270927v1_alt
NT_187452.1	chrUn_KI270590v1
NT_187478.1	chrUn_KI270388v1
HSCHR1_4_CTG31	NT_187520.1
HSCHR10_1_CTG6	NW_013171806.1
NW_003315960.1	chr18_GL383571v1_alt
GJ211883.1	NT_187187.1
GL383534.2	NW_003315922.2
KI270716.1	NT_187371.1
HG2047_PATCH	NW_018654719.1
HSCHR1_1_CTG3	KI270762.1
KI270740.1	NT_187395.1
13	chr13
HSCHR2_4_CTG7_2	KI270771.1
HSCHRX_2_CTG12	chrX_KI270881v1_alt
KI270382.1	chrUn_KI270382v1
KI270330.1	NT_187458.1
HSCHR4_7_CTG12	chr4_KI270925v1_alt
KI270906.1	NT_187659.1
HG28_PATCH	ML143358.1
HSCHR3_7_CTG2_1	KZ559101.1
KI270916.1	NT_187670.1
1	chr1
HSCHR6_1_CTG1	MU273357.1
HSCHR3_6_CTG3	NT_187689.1
CM000686.2	NC_000024.10
HSCHR1_9_CTG3	KZ208905.1
KB663609.1	chr22_KB663609v1_alt
HSCHR19KIR_7191059-2_CTG3_1	NW_016107313.1
KI270784.1	chr3_KI270784v1_alt
GL000214.1	NT_167209.1
HG2471_PATCH	ML143373.1
HSCHR3_4_CTG3	KI270924.1
HSCHR19_3_CTG3_1	chr19_KI270867v1_alt
HSCHR19KIR_HG2394_CTG3_1	KV575251.1
KI270385.1	NT_187487.1
KI270873.1	chr21_KI270873v1_alt
KI270411.1	NT_187409.1
KI270751.1	chrUn_KI270751v1
22	chr22
HSCHR1_6_CTG31	MU273332.1
KI270529.1	NT_187439.1
GJ212203.1	NT_187193.1
GL000171.2	NT_011786.17
HG1362_PATCH	NW_011332696.1
GL383532.1	chr5_GL383532v1_alt
NT_187437.1	chrUn_KI270507v1
GL383546.1	NW_003315935.1
KI270796.1	NT_187549.1
ML143349.1	NW_021159995.1
GL000150.2	NT_029490.5
HSCHR6_1_CTG4	KI270797.1
KI270909.1	NT_187661.1
HSCHR17_9_CTG4	NT_187616.1
NT_187672.1	chr19_KI270918v1_alt
GL383526.1	HSCHR3_1_CTG2_1
KI270844.1	NT_187598.1
HSCHR4_3_CTG12	chr4_KI270786v1_alt
4	CM000666.2
NT_187540.1	chr4_KI270790v1_alt
KI270477.1	NT_187244.1
KI270739.1	chr22_KI270739v1_random
HSCHR20_1_CTG1	NW_003315966.2
NT_187451.1	chrUn_KI270589v1
GJ212077.2	NT_187282.1
KI270320.1	NT_187401.1
NT_187465.1	chrUn_KI270336v1
HSCHR11_1_CTG7	chr11_KI270831v1_alt
NT_187511.1	chrUn_KI270756v1
NT_187480.1	chrUn_KI270386v1
NT_187490.1	chrUn_KI270374v1
KI270604.1	NT_187305.1
NT_187432.1	chrUn_KI270512v1
KI270838.1	chr13_KI270838v1_alt
NT_187582.1	chr11_KI270827v1_alt
NT_187520.1	chr1_KI270765v1_alt
KN196478.1	NW_009646200.1
NT_187524.1	chr2_KI270772v1_alt
HSCHR12_2_CTG1	KQ090023.1
KI270574.1	NT_187289.1
KI270328.1	NT_187181.1
HSCHR5_4_CTG1_1	chr5_KI270796v1_alt
HSCHR3_4_CTG3	NT_187678.1
GL383540.1	chr9_GL383540v1_alt
KI270365.1	NT_187197.1
KI270872.1	NT_187626.1
KI270397.1	NT_187204.1
HG2095_PATCH	KN538361.1
HSCHR17_3_CTG4	NW_003315955.1
GL000101.2	NT_009237.19
HSCHR19KIR_CA01-TB01_CTG3_1	NW_016107304.1
GJ212071.1	KI270551.1
KI270630.1	NT_187325.1
NT_187534.1	chr3_KI270782v1_alt
GL000176.2	NT_167201.2
HSCHR18_3_CTG2_1	KI270863.1
NT_187585.1	chr11_KI270831v1_alt
KB021644.2	NW_004166862.2
NC_000007.14	chr7
NT_187415.1	chrUn_KI270417v1
GJ212046.1	NT_187262.1
KI270320.1	chrUn_KI270320v1
KI270766.1	chr1_KI270766v1_alt
NW_003315922.2	chr7_GL383534v2_alt
NT_187463.1	chrUn_KI270338v1
HG2237_PATCH	NW_012132917.1
KI270850.1	chr15_KI270850v1_alt
HG26_PATCH	NW_014040929.1
HG2512_PATCH	NW_021160026.1
HG699_PATCH	NW_021159990.1
NT_187436.1	chrUn_KI270515v1
ML143350.1	NW_021159996.1
NT_187449.1	chrUn_KI270581v1
KQ031388.1	NW_012132919.1
GL000188.2	NT_025975.3
KQ458388.1	NW_014040931.1
HSCHR19KIR_RP5_B_HAP_CTG3_1	chr19_GL000209v2_alt
HSCHR19KIR_FH15_A_HAP_CTG3_1	chr19_KI270933v1_alt
HSCHR11_1_CTG7	NT_187585.1
GL000185.2	NT_113819.2
HG2513_PATCH	NW_021160023.1
GL000256.2	chr6_GL000256v2_alt
KI270531.1	NT_187264.1
GL383555.2	chr15_GL383555v2_alt
GL949747.2	NW_003571055.2
GL000181.2	NT_011896.10
KI270885.1	chr19_KI270885v1_alt
GL949751.2	NW_003571059.2
HG2571_PATCH	MU273334.1
KI270616.1	NT_187317.1
GJ212206.1	NT_187237.1
HSCHR13_1_CTG8	NW_013171811.1
GL383557.1	chr16_GL383557v1_alt
GJ211968.2	KI270446.1
GL383557.1	HSCHR16_2_CTG3_1
HSCHR2_8_CTG7_2	KZ208908.1
HSCHR11_1_CTG3	KI270827.1
KI270771.1	chr2_KI270771v1_alt
HSCHR19KIR_CA01-TA01_1_CTG3_1	NW_016107301.1
HSCHR14_8_CTG1	KZ208919.1
GL383527.1	NW_003315914.1
KI270827.1	chr11_KI270827v1_alt
GJ212162.2	NT_187343.1
GL000124.2	NT_010393.17
NT_187514.1	chr1_KI270760v1_alt
NW_003315913.1	chr3_GL383526v1_alt
HSCHR6_1_CTG3	KB021644.2
HSCHR8_2_CTG7	chr8_KI270815v1_alt
HSCHR2_3_CTG7_2	NT_187528.1
KI270861.1	NT_187611.1
KI270821.1	NT_187576.1
KI270777.1	NT_187533.1
GJ211999.2	NT_187244.1
HG439_PATCH	ML143381.1
HSCHR15_3_CTG8	KI270849.1
HSCHR6_1_CTG2	NW_003315921.1
NT_187692.1	chr6_KI270758v1_alt
HSCHR9_1_CTG4	NW_003315931.1
GL949748.2	HSCHR19LRC_LRC_I_CTG3_1
HSCHR5_2_CTG1_1	NW_003315917.2
KI270518.1	chrUn_KI270518v1
KI270915.1	NT_187669.1
KI270443.1	NT_187231.1
GL000067.2	NT_008046.17
HSCHR19KIR_FH13_A_HAP_CTG3_1	KI270931.1
KI270756.1	chrUn_KI270756v1
KI270877.1	chr22_KI270877v1_alt
GJ212028.2	NT_187255.1
NW_003571057.2	chr19_GL949749v2_alt
HSCHR5_1_CTG5	NW_003315919.1
HSCHR2_1_CTG15	NT_187523.1
CM000668.2	NC_000006.12
NT_187687.1	chr19_KI270933v1_alt
KI270717.1	chr9_KI270717v1_random
16	CM000678.2
NT_187579.1	chr10_KI270824v1_alt
HSCHR8_2_CTG1	NT_187568.1
KI270303.1	chrUn_KI270303v1
HSCHR8_3_CTG7	KI270816.1
KI270550.1	NT_187279.1
13	CM000675.2
HSCHR8_2_CTG7	NT_187569.1
NT_187621.1	chr19_KI270865v1_alt
KI270773.1	chr2_KI270773v1_alt
GL949749.2	NW_003571057.2
GJ212051.1	KI270531.1
GL383530.1	HSCHR5_3_CTG1_1
HSCHR13_1_CTG5	NT_187596.1
HSCHR6_MHC_COX_CTG1	chr6_GL000251v2_alt
NT_113793.3	chr4_GL000008v2_random
GL339449.2	HSCHR5_2_CTG1_1
KI270767.1	chr2_KI270767v1_alt
NW_004166862.2	chr6_KB021644v2_alt
HG2275_PATCH	MU273342.1
HSCHR14_8_CTG1	NW_018654721.1
KI270740.1	chrY_KI270740v1_random
KQ983256.1	NW_015495299.1
HSCHR19_2_CTG3_1	NT_187619.1
CM000676.2	chr14
HSCHR14_3_CTG1	NT_187600.1
NT_187500.1	chrUn_KI270745v1
KI270425.1	NT_187418.1
KI270310.1	chrUn_KI270310v1
NT_187595.1	chr13_KI270841v1_alt
HSCHR5_2_CTG5	KI270795.1
GL000253.2	NT_167246.2
HSCHR6_8_CTG1	chr6_KI270758v1_alt
HSCHR6_MHC_APD_CTG1	NT_167244.2
NT_187632.1	chr22_KI270878v1_alt
HG2233_PATCH	KN538362.1
NC_000008.11	chr8
14	NC_000014.9
KI270714.1	chr1_KI270714v1_random
HSCHR6_1_CTG4	NT_187552.1
GL383550.2	HSCHR12_1_CTG2_1
GL383563.3	NW_003315952.3
KI270885.1	NT_187639.1
HSCHR13_1_CTG2	KI270839.1
GL000128.2	NT_024972.9
KI270936.1	chr3_KI270936v1_alt
GL383567.1	chr18_GL383567v1_alt
KI270311.1	NT_187406.1
KV575259.1	NW_016107313.1
GL383520.2	NW_003315907.2
CM000671.2	chr9
HSCHR7_2_CTG6	KI270803.1
HSCHR5_3_CTG1_1	chr5_GL383530v1_alt
KI270591.1	NT_187457.1
JH636055.2	chr3_JH636055v2_alt
KI270332.1	NT_187183.1
HG1343_HG173_HG459_PATCH	MU273333.1
KI270313.1	NT_187196.1
KZ208912.1	NW_018654714.1
KI270389.1	chrUn_KI270389v1
HSCHR19KIR_CA04_CTG3_1	NW_016107311.1
NT_187515.1	chr1_KI270762v1_alt
HSCHR18_4_CTG1_1	chr18_KI270864v1_alt
ML143357.1	NW_021160003.1
KI270510.1	chrUn_KI270510v1
HSCHR15_2_CTG3	KI270906.1
HG1832_PATCH	NW_011332687.1
NT_187522.1	chr2_KI270769v1_alt
GL000146.1	NT_113954.1
KI270708.1	NT_187363.1
HSCHR19KIR_LUCE_A_HAP_CTG3_1	NT_187643.1
KI270726.1	chr14_KI270726v1_random
GL383563.3	HSCHR17_1_CTG1
GJ211866.1	NT_187180.1
HSCHR12_1_CTG2_1	chr12_GL383550v2_alt
NT_187425.1	chrUn_KI270438v1
KI270824.1	chr10_KI270824v1_alt
HSCHR17_3_CTG1	KV766198.1
KI270748.1	NT_187503.1
HSCHR13_1_CTG7	NW_013171810.1
KI270710.1	NT_187365.1
HG1466_PATCH	NW_021160031.1
KI270711.1	NT_187366.1
NW_003315972.2	chr22_GL383583v2_alt
GJ211936.1	NT_187218.1
GL000220.1	NT_167214.1
NW_003315959.1	chr18_GL383570v1_alt
ML143367.1	NW_021160013.1
KI270322.1	chrUn_KI270322v1
KI270571.1	NT_187286.1
GL000052.2	NT_007592.16
HSCHR15_1_CTG1	NT_187602.1
HSCHR13_1_CTG1	NT_187592.1
KV575249.1	NW_016107303.1
KI270427.1	NT_187222.1
KI270516.1	NT_187431.1
KI270601.1	NT_187302.1
HSCHR19KIR_FH15_B_HAP_CTG3_1	KI270882.1
KI270802.1	NT_187557.1
HSCHR5_4_CTG1_1	NT_187549.1
KI270900.1	NT_187654.1
GL383532.1	HSCHR5_1_CTG1
HSCHR19LRC_LRC_S_CTG3_1	NW_003571058.2
GJ211884.1	KI270345.1
HSCHR11_1_CTG1_1	NW_003315936.1
HG2233_PATCH	NW_011332689.1
GL000240.1	NT_167234.1
NT_187481.1	chrUn_KI270391v1
NT_187545.1	chr4_KI270789v1_alt
GL383521.1	NW_003315908.1
GJ212172.2	NT_187350.1
GL000254.2	chr6_GL000254v2_alt
GL949742.1	chr5_GL949742v1_alt
GL383555.2	HSCHR15_2_CTG8
ML143366.1	NW_021160012.1
NC_000005.10	chr5
KI270384.1	NT_187484.1
HSCHR18_ALT2_CTG2_1	KI270911.1
KZ559108.1	NW_019805495.1
GJ212023.2	KI270501.1
ML143355.1	NW_021160001.1
KI270423.1	chrUn_KI270423v1
HG1_PATCH	KZ208920.1
HG2063_PATCH	NW_015148967.1
GL000219.1	chrUn_GL000219v1
GL383573.1	NW_003315962.1
KV575258.1	NW_016107312.1
HSCHR18_1_CTG2	NW_003315957.1
KI270934.1	chr3_KI270934v1_alt
GL000026.2	NT_034508.3
GL949746.1	chr19_GL949746v1_alt
HSCHR15_1_CTG8	chr15_GL383554v1_alt
17	CM000679.2
GJ211986.2	NT_187238.1
GL000009.2	NT_113796.3
HSCHR8_5_CTG1	KI270900.1
HSCHR22_4_CTG1	KN196485.1
HG2115_PATCH	ML143359.1
HSCHR16_3_CTG1	KI270855.1
KN196486.1	NW_009646208.1
GL383551.1	chr12_GL383551v1_alt
NT_187494.1	chrUn_KI270371v1
HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	chr19_KI270916v1_alt
HSCHR2_1_CTG7_2	chr2_GL383522v1_alt
KI270889.1	chr19_KI270889v1_alt
KI270436.1	NT_187341.1
GL000051.2	NT_023133.14
HSCHR3_3_CTG1	chr3_KI270783v1_alt
KI866537.1	NT_187253.1
KI270521.1	NT_187496.1
GL383576.1	chr19_GL383576v1_alt
NT_187535.1	chr3_KI270783v1_alt
HSCHR1_3_CTG31	NW_003315907.2
KI270771.1	NT_187530.1
GL000218.1	chrUn_GL000218v1
NT_187555.1	chr6_KI270800v1_alt
CM000681.2	NC_000019.10
KI270315.1	NT_187404.1
KI270305.1	chrUn_KI270305v1
KI270825.1	chr10_KI270825v1_alt
KV575244.1	NW_016107298.1
CM000685.2	X
GL000111.2	NT_024524.15
GJ211962.2	KI270440.1
KI270888.1	chr19_KI270888v1_alt
NT_187679.1	chr4_KI270925v1_alt
NT_187586.1	chr11_KI270832v1_alt
GJ212154.2	NT_187333.1
HSCHR15_3_CTG3	KI270851.1
HG2140_PATCH	MU273345.1
KI270895.1	chr3_KI270895v1_alt
KI270851.1	chr15_KI270851v1_alt
KI270912.1	NT_187665.1
NT_187630.1	chr22_KI270876v1_alt
KI270407.1	NT_187214.1
GL000008.2	NT_113793.3
KI270339.1	NT_187184.1
GJ212055.1	NT_187268.1
KI270764.1	chr1_KI270764v1_alt
NW_003315965.1	chr19_GL383576v1_alt
HG708_PATCH	NW_018654714.1
GL383530.1	chr5_GL383530v1_alt
HSCHR19KIR_7191059-1_CTG3_1	NW_016107309.1
GL000194.1	chr14_GL000194v1_random
HSCHR11_1_CTG2	NT_187581.1
KI270508.1	NT_187430.1
HSCHR15_1_CTG1	KI270852.1
5	NC_000005.10
HSCHR19KIR_FH08_BAX_HAP_CTG3_1	chr19_KI270930v1_alt
KI270512.1	chrUn_KI270512v1
ML143373.1	NW_021160019.1
ML143345.1	NW_021159991.1
KI270934.1	NT_187688.1
KI270741.1	NT_187497.1
HG705_PATCH	NW_021159995.1
KI270333.1	chrUn_KI270333v1
NT_187498.1	chrUn_KI270743v1
HG2216_PATCH	NW_009646205.1
HSCHR1_2_CTG3	NT_187517.1
X	chrX
HSCHR18_2_CTG2	chr18_GL383571v1_alt
KI270728.1	NT_187383.1
HSCHR17_4_CTG4	JH159146.1
KI270922.1	NT_187676.1
HSCHR11_1_CTG1_1	chr11_GL383547v1_alt
HSCHR19KIR_G085_BA1_HAP_CTG3_1	NT_187638.1
HSCHR3_5_CTG3	chr3_KI270934v1_alt
ML143376.1	NW_021160022.1
KI270866.1	chr19_KI270866v1_alt
KI270334.1	NT_187460.1
HG2515_PATCH	MU273335.1
KI270534.1	NT_187267.1
HG2511_PATCH	ML143372.1
NW_003871074.1	chr11_JH159137v1_alt
HSCHR19_4_CTG2	chr19_KI270865v1_alt
GL000116.2	NT_026437.13
CM000669.2	NC_000007.14
NT_187572.1	chr8_KI270818v1_alt
HG1299_PATCH	ML143346.1
KI270517.1	NT_187438.1
HSCHR8_9_CTG1	KI270822.1
GL000209.2	HSCHR19KIR_RP5_B_HAP_CTG3_1
GJ211949.1	NT_187222.1
HSCHR16_3_CTG1	NT_187608.1
GL383583.2	chr22_GL383583v2_alt
KI270384.1	chrUn_KI270384v1
20	NC_000020.11
KV766194.1	NW_017363815.1
GL000236.1	NT_167230.1
KI270806.1	chr7_KI270806v1_alt
KI270759.1	NT_187516.1
KI270393.1	NT_187483.1
KI270613.1	NT_187314.1
KI270305.1	NT_187399.1
NT_187669.1	chr19_KI270915v1_alt
HSCHR2_1_CTG7_2	NW_003315909.1
HSCHR14_1_CTG1	chr14_KI270844v1_alt
HG2072_PATCH	KQ090016.1
HG2231_HG2496_PATCH	MU273344.1
GL383531.1	HSCHR5_1_CTG5
HSCHR18_3_CTG2_1	NT_187617.1
GJ212054.1	KI270534.1
HSCHR16_5_CTG1	KQ090026.1
KI270371.1	NT_187494.1
5	CM000667.2
HSCHR19_5_CTG2	chr19_KI270868v1_alt
HSCHR6_1_CTG8	chr6_KI270801v1_alt
HG2527_PATCH	MU273393.1
HG2111_PATCH	NW_021160006.1
KI270544.1	NT_187444.1
HG494_PATCH	NW_021160025.1
GL383533.1	HSCHR6_1_CTG2
HSCHR6_1_CTG10	NW_013171803.1
HSCHRX_2_CTG3	chrX_KI270913v1_alt
HSCHR3_9_CTG3	NT_187539.1
HG2247_PATCH	NW_011332697.1
NT_187560.1	chr7_KI270805v1_alt
NW_003571060.1	chr19_GL949752v1_alt
HG721_PATCH	NW_021159987.1
GJ212128.2	NT_187325.1
HG26_PATCH	KQ458386.1
GJ211965.2	KI270443.1
GL383578.2	chr21_GL383578v2_alt
HSCHR3_8_CTG3	NT_187691.1
KI270379.1	chrUn_KI270379v1
NT_187631.1	chr22_KI270877v1_alt
HSCHR16_3_CTG1	chr16_KI270855v1_alt
HSCHR15_2_CTG3	chr15_KI270906v1_alt
KI270937.1	NT_187691.1
NT_187495.1	chrUn_KI270448v1
NC_000010.11	chr10
4	chr4
KI270423.1	NT_187417.1
NW_003315907.2	chr1_GL383520v2_alt
KI270515.1	NT_187436.1
GL383567.1	NW_003315956.1
NT_187510.1	chrUn_KI270755v1
NT_187589.1	chr12_KI270833v1_alt
NT_187404.1	chrUn_KI270315v1
HSCHR4_1_CTG8_1	NT_187541.1
HSCHR12_5_CTG2	KI270837.1
HG2249_PATCH	KN538373.1
HSCHR12_4_CTG2	KI270835.1
HG2235_PATCH	NW_012132916.1
KI270430.1	NT_187224.1
CM000682.2	NC_000020.11
GL000195.1	NT_113901.1
HG76_PATCH	KZ208915.1
HSCHR19KIR_GRC212_BA1_HAP_CTG3_1	KI270888.1
HSCHR12_7_CTG2_1	NT_187591.1
HSCHR1_12_CTG3	MU273330.1
KQ090014.1	NW_013171800.1
NC_000013.11	chr13
KI270573.1	NT_187288.1
HG1384_PATCH	NW_021159988.1
HSCHR1_4_CTG32_1	chr1_KI270764v1_alt
HG2334_PATCH	KQ090021.1
GJ212186.2	KI270694.1
HG2365_PATCH	ML143371.1
KI270538.1	NT_187443.1
KI270815.1	NT_187569.1
HSCHR17_12_CTG4	KZ559114.1
NT_187633.1	chr22_KI270879v1_alt
NW_003571058.2	chr19_GL949750v2_alt
NW_003315944.2	chr15_GL383555v2_alt
HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1	chr19_KI270918v1_alt
HSCHR2_6_CTG7_2	KQ983256.1
HSCHR6_1_CTG6	NT_187554.1
21	CM000683.2
HSCHRX_1_CTG3	KI270880.1
GL383555.2	NW_003315944.2
HG2060_PATCH	KZ559108.1
GJ212191.2	KI270699.1
GL383573.1	HSCHR19_1_CTG2
GJ212209.1	KI866542.1
KI270406.1	NT_187213.1
HSCHR5_5_CTG1	KI270793.1
HG2021_PATCH	NW_009646206.1
HSCHR19_6_CTG2	MU273387.1
HG142_HG150_NOVEL_TEST	JH159136.1
KI270394.1	chrUn_KI270394v1
KI270519.1	chrUn_KI270519v1
HSCHR6_1_CTG9	chr6_KI270802v1_alt
NT_167214.1	chrUn_GL000220v1
HG1817_1_PATCH	NW_021160009.1
NW_003315963.1	chr19_GL383574v1_alt
HSCHRX_3_CTG3	MU273397.1
KI270744.1	chrUn_KI270744v1
HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	NT_187670.1
KI270722.1	chr14_KI270722v1_random
KV575251.1	NW_016107305.1
HG1298_PATCH	ML143347.1
HSCHR15_5_CTG8	chr15_KI270850v1_alt
KI270902.1	chr11_KI270902v1_alt
GL000055.2	NT_007819.18
GL000133.2	NT_010663.16
KI270507.1	chrUn_KI270507v1
NT_187470.1	chrUn_KI270366v1
GJ212077.2	KI270557.1
HSCHR14_2_CTG1	chr14_KI270845v1_alt
HSCHR2_1_CTG1	NT_187522.1
KI270388.1	chrUn_KI270388v1
NT_187576.1	chr8_KI270821v1_alt
KI270449.1	NT_187349.1
HSCHR7_1_CTG7	KI270805.1
GJ212004.2	NT_187247.1
JH159137.1	NW_003871074.1
HSCHR11_1_CTG8	KI270832.1
HSCHR19KIR_0019-4656-A_CTG3_1	NW_016107300.1
KI270424.1	NT_187414.1
HSCHR9_1_CTG1	NW_003315928.1
7	NC_000007.14
HSCHR12_5_CTG2_1	KI270833.1
KI270409.1	NT_187216.1
KI270835.1	NT_187587.1
KI270846.1	chr14_KI270846v1_alt
GL383545.1	chr10_GL383545v1_alt
KI270805.1	chr7_KI270805v1_alt
HG1277_PATCH	NW_021160001.1
HSCHR11_2_CTG3_1	MU273368.1
HSCHR6_MHC_SSTO_CTG1	NT_167249.2
HSCHR15_1_CTG3	chr15_KI270848v1_alt
HSCHR19LRC_LRC_S_CTG3_1	chr19_GL949750v2_alt
KI270891.1	chr19_KI270891v1_alt
HG1395_PATCH	ML143350.1
GJ212165.2	KI270673.1
HSCHR17_5_CTG4	JH159147.1
HSCHR5_2_CTG5	NT_187546.1
NT_187458.1	chrUn_KI270330v1
NT_187561.1	chr7_KI270809v1_alt
HSCHR9_1_CTG5	NT_187578.1
KI270344.1	NT_187187.1
HSCHR12_4_CTG2	NT_187587.1
HG2191_PATCH	NW_009646202.1
NW_003315967.2	chr21_GL383578v2_alt
HSCHR5_7_CTG1	KN196477.1
HSCHR22_3_CTG1	KI270928.1
GJ212006.2	KI270484.1
NT_187648.1	chr2_KI270894v1_alt
NT_187414.1	chrUn_KI270424v1
HSCHR4_5_CTG12	chr4_KI270789v1_alt
GL383547.1	NW_003315936.1
NT_187549.1	chr5_KI270796v1_alt
NT_187502.1	chrUn_KI270747v1
KI270827.1	NT_187582.1
NT_187592.1	chr13_KI270838v1_alt
NT_187649.1	chr3_KI270895v1_alt
NT_187428.1	chrUn_KI270509v1
17	NC_000017.11
HSCHR5_2_CTG5	chr5_KI270795v1_alt
KI270776.1	chr2_KI270776v1_alt
ML143361.1	NW_021160007.1
KI270590.1	NT_187452.1
HSCHR15_4_CTG8	chr15_KI270905v1_alt
KI270435.1	NT_187424.1
KI270873.1	NT_187627.1
HSCHR12_3_CTG2	KI270904.1
KI270723.1	NT_187378.1
HSCHR2_1_CTG5	chr2_GL383521v1_alt
GL949753.2	NW_003571061.2
HSCHR20_1_CTG1	chr20_GL383577v2_alt
HSCHR6_1_CTG8	KI270801.1
GL000251.2	NT_113891.3
GJ212125.2	NT_187323.1
KI270741.1	chrUn_KI270741v1
KI270448.1	chrUn_KI270448v1
HSCHR1_6_CTG3	NW_017852928.1
HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	KI270916.1
GL383554.1	NW_003315943.1
KI270680.1	NT_187350.1
HSCHR18_5_CTG1_1	NW_014040928.1
HG2554_PATCH	MU273372.1
KI270378.1	chrUn_KI270378v1
KI270610.1	NT_187311.1
HG2155_PATCH	MU273350.1
HSCHR10_1_CTG3	KI270824.1
KI270651.1	NT_187332.1
NT_187609.1	chr16_KI270856v1_alt
NT_187395.1	chrY_KI270740v1_random
KI270733.1	chr22_KI270733v1_random
HSCHR16_4_CTG3_1	KQ090027.1
ML143360.1	NW_021160006.1
HG23_PATCH	NW_009646204.1
GJ212161.2	KI270669.1
HSCHR20_1_CTG2	KI270869.1
NT_187569.1	chr8_KI270815v1_alt
GL383571.1	chr18_GL383571v1_alt
KI270752.1	chrUn_KI270752v1
KI270805.1	NT_187560.1
GJ211955.2	NT_187227.1
GL383531.1	chr5_GL383531v1_alt
KI270392.1	NT_187485.1
JH159136.1	chr11_JH159136v1_alt
NT_187508.1	chrUn_KI270753v1
GJ212205.1	NT_187236.1
KI270800.1	NT_187555.1
GL383575.2	chr19_GL383575v2_alt
GJ211932.1	KI270409.1
KI270304.1	NT_187397.1
KI270304.1	chrUn_KI270304v1
KI270469.1	NT_187239.1
KI270882.1	chr19_KI270882v1_alt
KI270731.1	chr22_KI270731v1_random
CM000674.2	NC_000012.12
KI270615.1	NT_187316.1
HG2291_PATCH	KN538372.1
KI270803.1	chr7_KI270803v1_alt
KI270787.1	NT_187541.1
GL383570.1	NW_003315959.1
KI270826.1	NT_187581.1
HG2442_PATCH	KZ208922.1
KI270786.1	NT_187543.1
HG2265_PATCH	MU273391.1
GJ211948.1	KI270426.1
KI270557.1	NT_187282.1
HSCHR7_1_CTG4_4	chr7_KI270806v1_alt
NT_187578.1	chr9_KI270823v1_alt
KZ559116.1	NW_019805503.1
19	NC_000019.10
GL383569.1	NW_003315958.1
NT_113891.3	chr6_GL000251v2_alt
NT_187373.1	chr9_KI270718v1_random
HSCHR12_2_CTG2_1	chr12_GL383552v1_alt
HSCHR8_1_CTG1	KI270811.1
20	chr20
KI270704.1	NT_187359.1
HSCHR6_1_CTG10	KQ090017.1
GL000241.1	NT_167235.1
HSCHR19KIR_502960008-2_CTG3_1	NW_016107306.1
GL383547.1	HSCHR11_1_CTG1_1
HG2069_PATCH	MU273348.1
NW_003315943.1	chr15_GL383554v1_alt
NT_187447.1	chrUn_KI270587v1
KI270836.1	NT_187591.1
KI270858.1	NT_187615.1
KI270372.1	NT_187491.1
KI270735.1	chr22_KI270735v1_random
HSCHR19KIR_CA01-TA01_2_CTG3_1	KV575248.1
NW_003315957.1	chr18_GL383568v1_alt
HSCHR3_1_CTG2_1	NW_003315913.1
KI270772.1	NT_187524.1
KI270874.1	NT_187628.1
NT_187547.1	chr5_KI270791v1_alt
HSCHR5_8_CTG1	NW_016107297.1
HSCHR19KIR_G248_A_HAP_CTG3_1	NT_187639.1
CM000677.2	NC_000015.10
KI270747.1	NT_187502.1
CM000667.2	NC_000005.10
HSCHR19LRC_PGF1_CTG3_1	chr19_GL949752v1_alt
GL000143.2	NT_011362.11
HSCHR19KIR_CA01-TB04_CTG3_1	KV575249.1
KI270677.1	NT_187348.1
GL383542.1	NW_003315931.1
KN538360.1	NW_011332687.1
GJ211886.1	NT_187190.1
KI270903.1	chr11_KI270903v1_alt
6	CM000668.2
GL383577.2	NW_003315966.2
GL383556.1	HSCHR16_1_CTG3_1
HSCHR21_6_CTG1_1	chr21_KI270873v1_alt
KI270433.1	NT_187227.1
GL383526.1	NW_003315913.1
GJ211992.2	KI270470.1
NT_187519.1	chr1_KI270763v1_alt
KI270317.1	chrUn_KI270317v1
HSCHR19KIR_FH13_BA2_HAP_CTG3_1	NT_187686.1
HSCHR19KIR_FH05_A_HAP_CTG3_1	NT_187674.1
GJ212009.2	KI270487.1
NT_187427.1	chrUn_KI270510v1
HSCHR2_2_CTG1	KI270770.1
HSCHR15_1_CTG1	chr15_KI270852v1_alt
KI866532.1	NT_187173.1
HSCHR19KIR_FH05_A_HAP_CTG3_1	KI270920.1
HG2264_PATCH	MU273346.1
KQ090024.1	NW_013171810.1
KI270378.1	NT_187471.1
